Location,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
China (and dependencies),564192.099,580097.992,593178.661,604381.325,614483.583,624093.647,633643.088,643393.959,653458.663,663833.337,674498.044,685523.505,697164.524,709900.095,724319.902,740790.568,759495.966,780172.78,802167.647,824557.715,846620.962,868190.21,889295.074,909655.336,928998.079,947156.412,964005.56,979633.736,994379.126,1008732.468,1023101.516,1037429.004,1051735.693,1066586.264,1082688.185,1100463.278,1120243.312,1141675.103,1163644.743,1184602.876,1203433.955,1219730.012,1233806.444,1246160.29,1257604.874,1268746.315,1279704.132,1290305.591,1300530.478,1310294.317,1319551.395,1328341.165,1336765.137,1344908.151,1352871.031,1360734.541,1368528.377,1376265.634,1383985.615,1391724.995,1399502.699,1407323.824,1415164.19,1422971.065,1430670.82,1438193.426,1445523.919,1452625.233,1459377.61,1465634.176,1471286.879,1476282.301
India,376325.2,382376.945,388799.076,395544.365,402578.594,409880.606,417442.811,425270.709,433380.978,441798.571,450547.675,459642.166,469077.191,478825.602,488848.139,499123.328,509631.509,520400.577,531513.834,543084.333,555189.797,567868.021,581087.255,594770.136,608802.595,623102.9,637630.085,652408.766,667499.815,682995.348,698952.837,715384.997,732239.498,749428.958,766833.411,784360.012,801975.25,819682.095,837468.938,855334.675,873277.799,891273.202,909307.018,927403.866,945601.828,963922.586,982365.248,1000900.028,1019483.586,1038058.154,1056575.548,1075000.094,1093317.187,1111523.146,1129623.466,1147609.924,1165486.291,1183209.471,1200669.762,1217726.217,1234281.163,1250287.939,1265780.243,1280842.119,1295600.768,1310152.392,1324517.25,1338676.779,1352642.283,1366417.756,1380004.385,1393409.033
United States of America (and dependencies),161134.785,163179.874,165564.84,168209.286,171042.003,174000.902,177033.262,180095.423,183152.335,186176.605,189145.518,192038.143,194832.484,197504.55,200031.474,202400.968,204599,206637.402,208563.938,210445.626,212334,214246.144,216178.953,218139.525,220129.681,222150.958,224211.807,226317.554,228461.272,230631.415,232819.552,235026.789,237256.702,239506.356,241772.192,244053.09,246352.896,248677.542,251031.458,253419.999,255850.815,258307.611,260797.54,263377.931,266124.918,269083.409,272288.834,275699.429,279188.985,282583.19,285759.191,288660.199,291326.851,293852.753,296379.786,299007.705,301763.87,304604.314,307471.953,310280.614,312966.891,315519.165,317955.944,320280.626,322504.295,324638.21,326678.816,328629.63,330518.653,332382.72,334249.447,336130.735
Indonesia,69543.321,70849.443,72274.629,73820.844,75487.888,77273.427,79172.8,81179.211,83284.051,85477.628,87751.066,90098.396,92518.373,95015.295,97596.728,100267.07,103025.423,105865.576,108779.926,111758.566,114793.179,117880.146,121017.316,124199.693,127422.198,130680.73,133966.94,137278.057,140621.731,144009.844,147447.834,150938.222,154468.235,158009.248,161523.353,164982.452,168374.287,171702.756,174975.953,178209.147,181413.398,184591.897,187739.786,190851.184,193917.458,196934.257,199901.231,202826.444,205724.597,208615.171,211513.822,214427.419,217357.79,220309.473,223285.666,226289.468,229318.262,232374.239,235469.755,238620.554,241834.226,245115.988,248451.714,251805.314,255128.076,258383.257,261556.386,264650.969,267670.549,270625.567,273523.621,276361.788
Pakistan,37542.37,37992.884,38516.514,39109.09,39767.169,40488.032,41269.721,42111.011,43011.324,43970.56,44988.69,46065.229,47198.886,48387.293,49627.623,50917.975,52260.183,53655.783,55102.69,56598.148,58142.062,59734.479,61381.982,63099.404,64905.996,66816.875,68834.324,70958.168,73197.254,75561.128,78054.346,80680.461,83431.597,86285.936,89213.708,92191.505,95215.375,98285.762,101389.603,104512.874,107647.918,110778.655,113911.126,117086.68,120362.764,123776.835,127349.293,131057.432,134843.233,138624.625,142343.583,145978.408,149549.695,153093.371,156664.698,160304.007,164022.626,167808.106,171648.984,175525.61,179424.643,183340.168,187280.125,191260.799,195305.012,199426.953,203631.356,207906.21,212228.288,216565.317,220892.331,225199.929
Brazil,53974.728,55606.413,57283.658,58999.276,60749.49,62533.92,64355.709,66221.469,68140.426,70123.372,72179.235,74311.338,76514.329,78772.647,81064.572,83373.533,85696.502,88035.815,90387.079,92746.607,95113.265,97482.928,99859.388,102259.497,104706.193,107216.209,109790.943,112425.392,115121.158,117878.412,120694.012,123570.327,126498.322,129448.815,132383.569,135274.083,138108.915,140891.606,143627.505,146328.305,149003.225,151648.007,154259.382,156849.086,159432.717,162019.889,164614.682,167209.046,169785.253,172318.674,174790.339,177196.051,179537.523,181809.244,184006.479,186127.108,188167.353,190130.445,192030.362,193886.505,195713.637,197514.541,199287.292,201035.904,202763.744,204471.759,206163.056,207833.825,209469.32,211049.519,212559.409,213993.441
Nigeria,37859.75,38424.142,39035.435,39686.159,40370.853,41086.1,41830.617,42605.12,43412.094,44255.337,45138.46,46063.57,47029.818,48032.932,49066.762,50127.92,51217.969,52342.231,53506.201,54717.035,55982.142,57296.988,58665.813,60114.615,61677.167,63374.289,65221.379,67203.134,69271.915,71361.141,73423.646,75440.505,77427.539,79414.841,81448.757,83562.776,85766.396,88048.029,90395.278,92788.039,95212.454,97667.632,100161.708,102700.751,105293.701,107948.339,110668.784,113457.661,116319.763,119260.055,122283.853,125394.046,128596.079,131900.634,135320.42,138865.014,142538.305,146339.971,150269.622,154324.939,158503.203,162805.08,167228.803,171765.819,176404.931,181137.454,185960.244,190873.247,195874.685,200963.603,206139.587,211400.704
Bangladesh,37894.671,38706.399,39489.861,40292.411,41149.83,42086.305,43113.922,44233.217,45434.542,46700.569,48013.505,49362.834,50752.15,52202.008,53741.721,55385.114,57157.651,59034.25,60918.452,62679.765,64232.486,65531.635,66625.706,67637.541,68742.222,70066.31,71652.386,73463.593,75450.033,77529.04,79639.498,81767.516,83932.132,86142.49,88416.529,90764.18,93187.593,95671.159,98186.35,100695.496,103171.957,105599.125,107983.708,110350.641,112737.684,115169.933,117649.927,120160.571,122682.818,125189.655,127657.862,130088.709,132478.077,134791.598,136986.429,139035.505,140921.154,142660.381,144304.164,145924.795,147575.433,149273.134,151005.733,152761.413,154517.385,156256.287,157977.151,159685.421,161376.713,163046.173,164689.383,166303.494
Russian Federation,102798.649,104304.698,105967.087,107727.31,109536.504,111355.301,113154.332,114913.78,116622.392,118275.873,119871.7,121403.897,122858.215,124210.253,125430.991,126503.741,127417.192,128187.398,128859.795,129497.5,130148.65,130830.724,131539.634,132275.73,133032.258,133804.859,134596.225,135413.335,136259.824,137139.387,138053.143,138993.85,139954.626,140935.774,141938.482,142957.289,143995.348,145032.886,146013.482,146863.927,147531.562,147995.584,148268.576,148373.584,148349.443,148227.471,148020.852,147730.02,147360.613,146915.915,146404.89,145830.726,145215.707,144610.876,144080.649,143672.125,143403.258,143266.207,143248.764,143326.904,143479.273,143703.027,143993.888,144325.456,144664.837,144985.059,145275.374,145530.091,145734.034,145872.26,145934.46,145912.022
Mexico,27944.671,28749.849,29590.077,30468.85,31388.572,32350.593,33355.184,34401.536,35487.956,36612.111,37771.861,38966.049,40195.318,41462.373,42771.077,44123.863,45519.746,46956.208,48431.971,49945.278,51493.565,53076.366,54689.944,56324.31,57966.812,59607.947,61242.189,62869.908,64494.872,66123.908,67761.367,69407.623,71058.65,72709.306,74352.631,75983.486,77599.105,79200.081,80788.725,82368.93,83943.135,85512.621,87075.136,88625.44,90156.396,91663.29,93147.045,94611.008,96056.313,97484.823,98899.845,100298.152,101684.764,103081.02,104514.934,106005.199,107560.155,109170.503,110815.272,112463.886,114092.961,115695.468,117274.156,118827.158,120355.137,121858.251,123333.379,124777.326,126190.782,127575.529,128932.753,130262.22
